step,flanker,target,condition,learner_correct,learner_pred,true_target
1,U,U,Congruent,1,2,2
2,U,D,Incongruent,1,3,3
3,L,L,Congruent,1,1,1
4,U,U,Congruent,1,2,2
5,U,L,Incongruent,1,1,1
6,U,U,Congruent,1,2,2
7,R,U,Incongruent,1,2,2
8,D,R,Incongruent,1,0,0
9,U,D,Incongruent,1,3,3
10,U,D,Incongruent,1,3,3
11,D,U,Incongruent,1,2,2
12,D,D,Congruent,1,3,3
13,R,D,Incongruent,1,3,3
14,D,D,Congruent,1,3,3
15,U,U,Congruent,1,2,2
16,D,D,Congruent,1,3,3
17,D,U,Incongruent,1,2,2
18,R,U,Incongruent,1,2,2
19,U,U,Congruent,1,2,2
20,D,R,Incongruent,1,0,0
21,L,D,Incongruent,1,3,3
22,D,D,Congruent,1,3,3
23,D,D,Congruent,1,3,3
24,D,R,Incongruent,1,0,0
25,R,L,Incongruent,1,1,1
26,U,U,Congruent,1,2,2
27,R,R,Congruent,1,0,0
28,L,R,Incongruent,1,0,0
29,R,R,Congruent,1,0,0
30,D,R,Incongruent,1,0,0
31,D,L,Incongruent,1,1,1
32,D,R,Incongruent,1,0,0
33,U,U,Congruent,1,2,2
34,U,R,Incongruent,1,0,0
35,R,R,Congruent,1,0,0
36,D,U,Incongruent,1,2,2
37,L,L,Congruent,1,1,1
38,U,R,Incongruent,1,0,0
39,U,L,Incongruent,1,1,1
40,R,R,Congruent,1,0,0
41,U,R,Incongruent,1,0,0
42,U,L,Incongruent,1,1,1
43,L,L,Congruent,1,1,1
44,U,R,Incongruent,1,0,0
45,R,D,Incongruent,1,3,3
46,L,U,Incongruent,1,2,2
47,L,R,Incongruent,1,0,0
48,R,D,Incongruent,1,3,3
49,L,D,Incongruent,1,3,3
