Loaded learner weights from /Users/utsumikensuke/Research/Cartpole/model_weights/best_flanker_rnn_model.pth
Start training on cpu...
Episode 0050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0400 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0450 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0500 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0550 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0600 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0650 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0700 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0750 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0800 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0850 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0900 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 0950 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 1000 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 1050 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 1100 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 1150 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 1200 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 1250 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 1300 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 1350 | Avg Return: 0.00 | Learner Acc: 100.00%
Episode 1400 | Avg Return: 0.00 | Learner Acc: 100.00%
